試合数,日付,対戦相手,W/L,得点,失点,ゲーム差,試合時間,観客数,連勝（連敗）,打席数,ヒット数,二塁打数,三塁打数,ホームラン数,打点
54,5月25日,レッズ,L,1,3,up 5.5,2:29,41880,----,30,5,1,1,0,0
55,5月26日,レッズ,L,1,4,up 5.5,2:27,35619,-----,32,5,3,0,0,1
56,5月28日,メッツ,W,5,2,up 5.5,2:42,,+,36,10,3,0,2,3
57,5月28日,メッツ,W,3,0,up 5.5,2:18,36021,++,41,11,1,0,1,5
58,5月29日,メッツ,W,10,3,up 6.5,3:20,23890,+++,41,16,3,1,4,10
59,5月31日,ロッキーズ,L,1,4,up 5.5,2:20,47542,-,31,5,1,0,0,0
60,6月1日,ロッキーズ,W,4,1,up 5.5,2:41,50182,+,33,11,2,1,0,3
61,6月2日,ロッキーズ,W,4,0,up 6.5,2:29,48251,++,31,8,0,0,2,4
62,6月4日,パイレーツ,L,0,1,up 7.0,2:21,24168,-,31,5,3,0,0,0
63,6月5日,パイレーツ,L,6,10,up 7.0,2:45,29716,--,39,11,3,0,2,5
64,6月6日,パイレーツ,W,11,7,up 8.0,3:08,22752,+,39,14,4,0,3,10
65,6月7日,ヤンキース,W,2,1,up 8.0,3:21,48048,++,36,4,2,0,0,2
66,6月8日,ヤンキース,W,11,3,up 8.0,3:17,48374,+++,36,11,2,0,3,11
67,6月9日,ヤンキース,L,4,6,up 8.0,2:44,48023,-,34,9,4,0,1,4
68,6月11日,レンジャーズ,W,15,2,up 7.5,2:40,51416,+,35,14,1,0,5,15
69,6月12日,レンジャーズ,L,2,3,up 6.5,2:51,48930,-,31,7,1,0,1,2
70,6月13日,レンジャーズ,L,1,3,up 6.0,2:31,50134,--,31,5,0,0,1,1
71,6月14日,ロイヤルズ,W,4,3,up 7.0,2:01,49580,+,30,8,0,0,2,4
72,6月15日,ロイヤルズ,L,2,7,up 7.0,2:32,50423,-,32,6,2,0,0,2
73,6月16日,ロイヤルズ,W,3,0,up 8.0,2:05,52789,+,28,5,0,0,3,3
