試合数,日付,対戦相手,W/L,打席数,ヒット,2塁打,３塁打,ホームラン,打点,四球,デッドボール,三振,盗塁,盗塁失敗,打順,第1,第2,第3,第4,第5,第6,第7
39,5月8日,マーリンズ,W,4,0,0,0,0,0,0,0,2,0,0,2指,三振,空振,左直,左飛,該当なし,該当なし,該当なし
41,5月11日,パドレス,W,3,0,0,0,0,0,1,0,0,0,0,2指,左飛,左飛,四球,投ゴ,該当なし,該当なし,該当なし
43,5月13日,ジャイアンツ,W,5,2,0,0,0,1,0,0,2,1,0,2指,右安,ニゴ,二安,空振,空振,該当なし,該当なし
44,5月14日,ジャイアンツ,W,5,3,1,0,1,2,0,0,0,0,0,2指,左飛,右本,中安,左2,二ゴ,該当なし,該当なし
47,5月17日,レッズ,W,4,1,0,0,1,2,0,0,1,0,0,2指,一ゴ,左本,空振,一ゴ,該当なし,該当なし,該当なし
48,5月18日,レッズ,W,4,0,0,0,0,0,0,0,0,0,0,2指,三ゴ,二ゴ,左飛,一ゴ,該当なし,該当なし,該当なし
50,5月20日,ダイヤモンドバックス,W,3,0,0,0,0,0,1,0,0,0,0,2指,投失,四球,左飛,一直,該当なし,該当なし,該当なし
56,5月28日,メッツ,W,5,0,0,0,0,0,0,0,2,0,0,2指,空振,一ゴ,一ゴ,遊ゴ,空振,該当なし,該当なし
57,5月28日,メッツ,W,0,0,0,0,0,0,0,0,0,0,0,該当なし,該当なし,該当なし,該当なし,該当なし,該当なし,該当なし,該当なし
58,5月29日,メッツ,W,5,2,0,0,1,3,0,0,1,0,0,2指,左飛,二ゴ,中安,空振,左本,該当なし,該当なし
60,6月1日,ロッキーズ,W,3,1,0,0,0,0,1,0,1,1,1,2指,左飛,四球,空振,中安,該当なし,該当なし,該当なし
61,6月2日,ロッキーズ,W,3,0,0,0,0,0,1,0,2,0,0,2指,遊飛,三振,空振,打妨,敬遠,該当なし,該当なし
64,6月6日,パイレーツ,W,6,1,0,0,0,0,0,0,3,0,0,2指,右安,空振,空振,ニゴ,空振,一ゴ,該当なし
65,6月7日,ヤンキース,W,5,0,0,0,0,0,0,0,0,0,0,2指,二ゴ,中直,一ゴ,左飛,一ゴ,該当なし,該当なし
66,6月8日,ヤンキース,W,4,1,0,0,0,1,1,0,1,0,0,2指,空振,左安,三飛,二失,四球,該当なし,該当なし
68,6月11日,レンジャーズ,W,2,1,0,0,1,2,2,1,1,1,0,2指,四球,四球,空振,右本,死球,該当なし,該当なし
71,6月14日,ロイヤルズ,W,4,2,0,0,0,0,0,0,0,0,0,2指,遊ゴ,右安,中安,遊飛,該当なし,該当なし,該当なし
